ツヨシ・ムコウダ	Tsuyoshi Mukouda
ツヨシ	Tsuyoshi
ムコーダ	Mukouda
巻き込まれた異世界人	Victim from Another World
料理人	Cook
冒険者	Adventurer
冒険者ギルドギルドマスター	Adventurer Guild Master
鑑定	Appraisal
アイテムボックス	Item Box
ネットスーパー	Online Supermarket
カイト・サイトウ	Kaito Saitou
カイト	Kaito
サイトウ	Saitou
異世界からやって来た勇者	A Hero from another world
剣術	Swordsmanship
聖剣術	Holy Swordsmanship
リタ	Rita
斥候	Scout
短剣術	Short Sword Techniques
聞き耳	Eavesdropping
忍び足	Quiet Steps
エルランド	Elland
エルランドさん	Elland-san
ポトフ	Pot-au-feu
ソーセージ	Sausage
食パン	Bread loaf
従魔	Familiar
契約魔獣	Contracted Magic Beast
契約魔獣フェンリル	Contracted Magic Beast Fenrir
フェンリル	Fenrir
スライム	Slime
ヒュージスライム	Huge Slime
ベビースライム	Baby Slime
固有スキル	Unique Skill
フェル	Fel
ストーンバレット	Stone Bullet
火魔法	Fire Magic
風魔法	Wind Magic
水魔法	Water Magic
土魔法	Earth Magic
氷魔法	Ice Magic
光魔法	Light Magic
雷魔法	Lightning Magic
神聖魔法	Holy Magic
結界魔法	Barrier Magic
草木魔法	Plant Magic
魔力操作	Magic operation
爪斬撃	Rending Claws
身体強化	Body Reinforcement
物理攻撃耐性	Physical Attack Resistance
魔法攻撃耐性	Magic Attack Resistance
魔力消費軽減	Magic Power Consumption Reduction
戦闘強化	Battle Enhancement
ニンリル	Ninrir
ヴァハグン	Vulcan
キシャール	Kishar
アグニ	Agni
デミウルゴス	Demiurg
スイゃん	Sui-chan
ドラちゃん	Dora-chan
ドラち	Dora
ピクシードラゴン	Pixie Dragon
ゴン爺	Gonji
古竜の息吹	Ancient Dragon Breath
ドラゴンブレス	Dragon Blessing
ドラゴンブレス極	Dragon Blessing Extreme
地竜	Earth Dragon
アースドラゴン	Earth Dragon
エンシェントドラゴン	Ancient Dragon
古竜	Ancient Dragon
古竜の魂	Ancient Dragon Soul
回復魔法	Recovery Magic
砲撃	Bombardment
ビッグスライム	Big Slime
酸弾	Acid Bullet
回復薬生成	Potion Creation
鍛冶	Smithing
ルサールカ	Rusalka
ヘファイストス	Hephaestus
完全防御	Perfect Defence
獲得経験値倍化	Double Experience Points
キアユ草	Kiayu Grass
マージュ草	Maju Grass
オーク	Orc
オークジェネラル	Orc General
オークキング	Orc King
マーダーグリズリー	Murder Grizzly
オーガ	Ogre
ベヒモス	Behemoth
カラドボルグ	Caladbolg
ブラッディホーンブル	Bloody Horn Bull
キュクロープス	Cyclops
ワイバーン	Wyvern
ジャイアントイビルプラント	Giant Evil Plant
イビルプラント	Evil Plant
あるじ	Aruji
ゴブリン	Goblin
コカトリス	Cockatrice
キマイラ	Chimera
オルトロス	Orthros
グリフォン	Gryphon
ブラックサーペント	Black Serpent
レッドサーペント	Red Serpent
ロックバード	Rock Bird
ジャイアントドードー	Giant Dodo
ジャイアントディアー	Giant Deer
メタルリザード	Metal Lizard
ミスリルリザード	Mithril Lizard
蟲系の魔物	Insect Monster
ヴェノムタランチュラ	Venom Tarantula
ブルーノ商会	Bruno Company
イシュタム	Ishtam	"a Forest"
カレーリナ	Carerina	"a City"
ドラン	Doran	"a City"
クレール	Claire	"a City"
ロドルフォ	Rodolpho	"Guild Master of the Adventurers Guild of Claire"
ロドルフォさん	Rodolpho-san
ランベルトさん	Lambert-san	"Guild Master of Carerina"
ランベルト	Lambert
ラウテル	Rautel	"a City"
ドワーフ	Dwarf
エルフ	Elf
フィリップ	Philip
フィリップさん	Philip-san
アントン	Anton
アントンさん	Anton-san
ブリジッタ	Brigitte
パウル	Paul
リヴィア	Livia
